0: (-442.534214, -210.195269)
1: (566.837155, -801.141562)
2: (-335.630414, 663.396196)
3: (-683.733439, 723.662517)
4: (-17.472127, -83.656625)
5: (223.337010, -234.335246)
6: (-850.161412, -120.619338)
7: (-518.311187, 999.824333)
8: (-210.019602, 239.195686)
9: (40.337248, -834.586856)
10: (-497.983052, -156.386353)
11: (880.048870, 651.484369)
12: (-735.140995, 123.176664)
13: (-357.511910, -655.716974)
14: (776.336313, -574.380838)
15: (-574.205171, 823.086960)
16: (62.282646, -356.898322)
17: (-191.485177, 354.927902)
18: (511.314254, -716.521888)
19: (-368.006257, -772.654542)
20: (-895.831206, -396.708146)
21: (-52.425120, 391.319856)
22: (-965.700694, 65.307358)
23: (-888.394318, 378.901832)
24: (-735.800154, 885.212168)
25: (240.140069, 531.884415)
26: (-248.406303, 487.938281)
27: (260.592823, -431.701568)
28: (-828.409715, 781.185066)
29: (172.504922, -870.783581)
30: (936.090939, 833.005199)
31: (211.907030, 2.242117)
32: (887.454285, -828.459081)
33: (360.343496, 491.746077)
34: (-979.684358, -21.866126)
35: (-453.567695, -944.722170)
36: (-725.907236, 806.468353)
37: (-677.251934, 872.408510)
38: (-705.413708, 714.729253)
39: (716.971370, 212.990351)
40: (41.449431, -740.020438)
41: (-231.766515, -611.068688)
42: (-632.934814, -235.705085)
43: (-180.427255, 848.429262)
44: (654.897614, -531.292160)
45: (403.700669, -841.364421)
46: (-556.093673, -383.320550)
47: (596.310901, 891.463037)
48: (-631.483475, 609.510707)
49: (-220.579395, 50.095985)
50: (285.801070, -526.428914)
51: (-374.858176, -308.496634)
52: (-839.788794, -177.309463)
53: (-18.673884, 307.397758)
54: (690.718308, -379.038954)
55: (270.501991, 725.323297)
56: (334.834004, 964.342800)
57: (-14.438785, -839.936317)
58: (366.365231, 348.944324)
59: (657.440959, -139.030995)
60: (316.340459, -132.884533)
61: (440.282291, -93.323055)
62: (-472.362010, 757.614499)
63: (482.937796, 342.819348)
64: (-307.162148, -410.084921)
65: (250.021238, 782.112806)
66: (-131.057130, 388.308969)
67: (-527.339964, 128.589070)
68: (-261.473604, 26.447057)
69: (119.770112, 88.476665)
70: (-846.091165, -250.786300)
71: (-593.605648, 979.845589)
72: (-389.930509, 519.985959)
73: (-302.098765, -844.209519)
74: (-232.518488, 613.948090)
75: (742.537161, -507.381825)
76: (533.828881, 782.233641)
77: (-870.710306, 538.523152)
78: (-789.309452, -580.727238)
79: (-560.572826, 192.631191)
80: (712.617151, -506.051626)
81: (-350.261145, 846.793297)
82: (-460.741386, -669.525794)
83: (-176.907618, 946.176961)
84: (-728.410601, 913.055971)
85: (-451.579123, -610.066607)
86: (190.793844, 361.752808)
87: (554.383999, -907.486571)
88: (-413.538197, 292.325085)
89: (-139.118381, 729.588875)
90: (399.114668, 689.217059)
91: (-635.394019, -10.427626)
92: (923.483597, -651.094277)
93: (261.160884, -278.847904)
94: (-640.600712, -239.754968)
95: (-147.241538, 905.191402)
96: (-197.516487, -743.702925)
97: (473.291800, 671.158051)
98: (-360.375110, 739.632951)
99: (-750.060578, 735.187538)
100: (-386.281815, 322.499277)
101: (-601.347181, -664.558186)
102: (-904.313154, -302.718824)
103: (207.910226, -898.918463)
104: (642.621388, -936.913504)
105: (608.071555, 678.556219)
106: (418.189170, -436.748409)
107: (171.935947, 323.789545)
108: (-646.288822, -890.400814)
109: (-554.958999, -305.057885)
110: (607.776709, 926.516498)
111: (-825.434961, -123.161271)
112: (60.074775, 963.175230)
113: (641.731448, -572.289191)
114: (-9.037599, -600.808790)
115: (924.598335, 69.964285)
116: (960.365099, 944.851767)
117: (249.909652, 308.107053)
118: (234.623551, -485.423094)
119: (608.584366, 894.486943)
120: (-857.662172, -112.084394)
121: (684.373585, 973.398466)
