0: (8.000000, 0.000000)
1: (7.608452, 2.472136)
2: (6.472136, 4.702282)
3: (4.702282, 6.472136)
4: (2.472136, 7.608452)
5: (0.000000, 8.000000)
6: (-2.472136, 7.608452)
7: (-4.702282, 6.472136)
8: (-6.472136, 4.702282)
9: (-7.608452, 2.472136)
10: (-8.000000, 0.000000)
11: (-7.608452, -2.472136)
12: (-6.472136, -4.702282)
13: (-4.702282, -6.472136)
14: (-2.472136, -7.608452)
15: (-0.000000, -8.000000)
16: (2.472136, -7.608452)
17: (4.702282, -6.472136)
18: (6.472136, -4.702282)
19: (7.608452, -2.472136)
20: (3.804226, 1.236068)
21: (3.236068, 2.351141)
22: (2.351141, 3.236068)
23: (1.236068, 3.804226)
24: (0.000000, 4.000000)
25: (-1.236068, 3.804226)
26: (-2.351141, 3.236068)
27: (-3.236068, 2.351141)
28: (-3.804226, 1.236068)
29: (-4.000000, 0.000000)
30: (-3.804226, -1.236068)
31: (-3.236068, -2.351141)
32: (-2.351141, -3.236068)
33: (-1.236068, -3.804226)
34: (-0.000000, -4.000000)
35: (1.236068, -3.804226)
36: (2.351141, -3.236068)
37: (3.236068, -2.351141)
38: (3.804226, -1.236068)
39: (4.000000, -0.000000)
