0: (6.000000, 2.000000)
1: (-3.000000, 1.000000)
2: (-8.000000, 4.000000)
3: (11.000000, 6.000000)
4: (-2.000000, 4.000000)
5: (0.000000, -1.000000)
6: (0.000000, 1.000000)
7: (2.000000, -2.000000)
8: (10.000000, 4.000000)
9: (0.000000, -6.000000)
10: (13.000000, 17.000000)
11: (3.000000, 3.000000)
12: (0.000000, -12.000000)
13: (4.000000, -15.000000)
14: (0.000000, 6.000000)
15: (18.000000, 0.000000)
16: (0.000000, -10.000000)
17: (-16.000000, -2.000000)
18: (-2.000000, -3.000000)
19: (0.000000, -17.000000)
20: (-9.000000, -4.000000)
21: (0.000000, -16.000000)
22: (7.000000, 7.000000)
23: (-3.000000, 0.000000)
24: (0.000000, 4.000000)
