0: (6.000000, -2.000000)
1: (5.874333, -1.005240)
2: (5.505227, -0.072985)
3: (4.915875, 0.738188)
4: (4.143307, 1.377312)
5: (3.236068, 1.804226)
6: (2.251162, 1.992107)
7: (1.250475, 1.929149)
8: (0.296883, 1.619308)
9: (-0.549696, 1.082053)
10: (-1.236068, 0.351141)
11: (-1.719106, -0.527502)
12: (-1.968459, -1.498667)
13: (-1.968459, -2.501333)
14: (-1.719106, -3.472498)
15: (-1.236068, -4.351141)
16: (-0.549696, -5.082053)
17: (0.296883, -5.619308)
18: (1.250475, -5.929149)
19: (2.251162, -5.992107)
20: (3.236068, -5.804226)
21: (4.143307, -5.377312)
22: (4.915875, -4.738188)
23: (5.505227, -3.927015)
24: (5.874333, -2.994760)
25: (2.000000, 2.000000)
26: (1.874333, 2.994760)
27: (1.505227, 3.927015)
28: (0.915875, 4.738188)
29: (0.143307, 5.377312)
30: (-0.763932, 5.804226)
31: (-1.748838, 5.992107)
32: (-2.749525, 5.929149)
33: (-3.703117, 5.619308)
34: (-4.549696, 5.082053)
35: (-5.236068, 4.351141)
36: (-5.719106, 3.472498)
37: (-5.968459, 2.501333)
38: (-5.968459, 1.498667)
39: (-5.719106, 0.527502)
40: (-5.236068, -0.351141)
41: (-4.549696, -1.082053)
42: (-3.703117, -1.619308)
43: (-2.749525, -1.929149)
44: (-1.748838, -1.992107)
45: (-0.763932, -1.804226)
46: (0.143307, -1.377312)
47: (0.915875, -0.738188)
48: (1.505227, 0.072985)
49: (1.874333, 1.005240)
50: (6.000000, 2.000000)
51: (5.874333, 2.994760)
52: (5.505227, 3.927015)
53: (4.915875, 4.738188)
54: (4.143307, 5.377312)
55: (3.236068, 5.804226)
56: (2.251162, 5.992107)
57: (1.250475, 5.929149)
58: (0.296883, 5.619308)
59: (-0.549696, 5.082053)
60: (-1.236068, 4.351141)
61: (-1.719106, 3.472498)
62: (-1.968459, 2.501333)
63: (-1.968459, 1.498667)
64: (-1.719106, 0.527502)
65: (-1.236068, -0.351141)
66: (-0.549696, -1.082053)
67: (0.296883, -1.619308)
68: (1.250475, -1.929149)
69: (2.251162, -1.992107)
70: (3.236068, -1.804226)
71: (4.143307, -1.377312)
72: (4.915875, -0.738188)
73: (5.505227, 0.072985)
74: (5.874333, 1.005240)
