0: (2.093050, 8.372199)
1: (9.668978, 6.445985)
2: (-0.987771, -18.767645)
3: (-6.712273, -5.922594)
4: (-9.279779, -12.373038)
5: (-9.211026, -6.908269)
6: (3.884115, 4.855144)
7: (-1.387913, -0.000000)
8: (-4.990531, -2.851732)
9: (-1.006663, -1.342217)
10: (3.005113, 1.335606)
11: (1.329302, 2.278803)
12: (10.011389, 10.011389)
13: (-0.647125, -7.118375)
14: (-3.646650, -6.077750)
15: (10.978708, 10.063816)
16: (5.305495, 8.337206)
17: (0.000000, 6.761983)
18: (-15.592763, -16.459027)
19: (0.094752, 0.284255)
