0: (8.000000, -4.000000)
1: (7.804226, -2.763932)
2: (7.236068, -1.648859)
3: (6.351141, -0.763932)
4: (5.236068, -0.195774)
5: (4.000000, 0.000000)
6: (2.763932, -0.195774)
7: (1.648859, -0.763932)
8: (0.763932, -1.648859)
9: (0.195774, -2.763932)
10: (0.000000, -4.000000)
11: (0.195774, -5.236068)
12: (0.763932, -6.351141)
13: (1.648859, -7.236068)
14: (2.763932, -7.804226)
15: (4.000000, -8.000000)
16: (5.236068, -7.804226)
17: (6.351141, -7.236068)
18: (7.236068, -6.351141)
19: (7.804226, -5.236068)
20: (0.000000, 4.000000)
21: (-0.195774, 5.236068)
22: (-0.763932, 6.351141)
23: (-1.648859, 7.236068)
24: (-2.763932, 7.804226)
25: (-4.000000, 8.000000)
26: (-5.236068, 7.804226)
27: (-6.351141, 7.236068)
28: (-7.236068, 6.351141)
29: (-7.804226, 5.236068)
30: (-8.000000, 4.000000)
31: (-7.804226, 2.763932)
32: (-7.236068, 1.648859)
33: (-6.351141, 0.763932)
34: (-5.236068, 0.195774)
35: (-4.000000, 0.000000)
36: (-2.763932, 0.195774)
37: (-1.648859, 0.763932)
38: (-0.763932, 1.648859)
39: (-0.195774, 2.763932)
40: (12.000000, 8.000000)
41: (11.804226, 9.236068)
42: (11.236068, 10.351141)
43: (10.351141, 11.236068)
44: (9.236068, 11.804226)
45: (8.000000, 12.000000)
46: (6.763932, 11.804226)
47: (5.648859, 11.236068)
48: (4.763932, 10.351141)
49: (4.195774, 9.236068)
50: (4.000000, 8.000000)
51: (4.195774, 6.763932)
52: (4.763932, 5.648859)
53: (5.648859, 4.763932)
54: (6.763932, 4.195774)
55: (8.000000, 4.000000)
56: (9.236068, 4.195774)
57: (10.351141, 4.763932)
58: (11.236068, 5.648859)
59: (11.804226, 6.763932)
