0: (12.000000, -6.000000)
1: (11.706339, -4.145898)
2: (10.854102, -2.473288)
3: (9.526712, -1.145898)
4: (7.854102, -0.293661)
5: (6.000000, 0.000000)
6: (4.145898, -0.293661)
7: (2.473288, -1.145898)
8: (1.145898, -2.473288)
9: (0.293661, -4.145898)
10: (0.000000, -6.000000)
11: (0.293661, -7.854102)
12: (1.145898, -9.526712)
13: (2.473288, -10.854102)
14: (4.145898, -11.706339)
15: (6.000000, -12.000000)
16: (7.854102, -11.706339)
17: (9.526712, -10.854102)
18: (10.854102, -9.526712)
19: (11.706339, -7.854102)
20: (0.000000, 6.000000)
21: (-0.293661, 7.854102)
22: (-1.145898, 9.526712)
23: (-2.473288, 10.854102)
24: (-4.145898, 11.706339)
25: (-6.000000, 12.000000)
26: (-7.854102, 11.706339)
27: (-9.526712, 10.854102)
28: (-10.854102, 9.526712)
29: (-11.706339, 7.854102)
30: (-12.000000, 6.000000)
31: (-11.706339, 4.145898)
32: (-10.854102, 2.473288)
33: (-9.526712, 1.145898)
34: (-7.854102, 0.293661)
35: (-6.000000, 0.000000)
36: (-4.145898, 0.293661)
37: (-2.473288, 1.145898)
38: (-1.145898, 2.473288)
39: (-0.293661, 4.145898)
